江左尚白,Esa Shōhaku,1650–1722,,Physician 近江蕉門
池西 言水,Nishinishi Gonsui,1650 – 1722,3. Danrin,
小西 来山,Konishi Raizan,1654 – 1716,3. Danrin,
椎本才麿,Shiinomoto Saimaro,1656—1738,3. Danrin,
上島鬼貫,Uejima Onitsura,1661—1738,3. Danrin,
北条団水,Hōjō Dansui,1663—1711,3. Danrin,
田代松意,Tashiro Syōi,生没年不詳 ,3. Danrin,
菅野谷高政,Suganoya Takamasa,生没年不詳 ,3. Danrin,
水田西吟,Mizuta Saigin,生没年不詳 —1709,3. Danrin,
日能　,Nichinō,,3. Danrin,
山口素堂,Yamaguchi Sodō,1642—1716,4. Shōmon,
松尾芭蕉,Matsuo Bashō,1644 – 1694 ,4. Shōmon,
向井去来,Mukai Kyorai,1651—1704,4. Shōmon,
服部嵐雪,Hattori Ransetsu,1654—1707,4. Shōmon,
宝井其角,Takarai Kikaku,1661—1707,4. Shōmon,
内藤丈草,Naitō Jōsō,1662—1704,4. Shōmon,
野沢凡兆,Nozawa Bonchō,生没年不詳 —1714,4. Shōmon,
中村史邦,Nakamura Fumikuni,生没年不詳 ,4. Shōmon,
杉山杉風,Sugiyama Sanpū,1647～1732 ,4. Shōmon,
山本荷兮,Yamamoto Kakei ,1648～1716 ,4. Shōmon,
榎本其角,Enomoto Kikaku,1661-1707 ,4. Shōmon,
各務支考,Kagami Shiko ,1665～1731 ,4. Shōmon,
森川許六,Morikawa Kyoriku ,1656～1715 ,4. Shōmon,
志太野坡,Shida Yaba,1662—1740 ,4. Shōmon,
越智越人,Ochi Etsujin,1656 - 1739 ,4. Shōmon,
立花北枝,Tachibana Hokushi,生年不詳－1718 ,4. Shōmon,
天野桃隣 ,Amano Tōrin,生年不詳－1720 ,4. Shōmon,
服部土芳 ,Hattori Dohō ,1657～1730 ,4. Shōmon,
広瀬惟然 ,Hirose Izen,1648 - 1711 ,4. Shōmon,
河合曾良 ,Kawai Sora,1649 - 1710 ,4. Shōmon,
定雅,Teiga,1755—1825,5. Buson,Buson's pupil
内藤露沾,Naitō Rosen,1655—1733,,
岩田涼菟,Iwata Ryōto,1659 – 1717,,
斯波 園女 ,Shiba Sonome ,1664–1726 ,,
与謝 蕪村 ,Yosa Buson,1716 – 1784 ,,
黒柳召波 ,Kuroyanagi Shōha,1727-1771 ,,
内田百閒,Uchida Hyakken,1889 — 1971 ,,
喜多村立以,Kitamura Ryūi ,,,
早川丈石,Hayakawa Jōseki ,"1695-1779
",,
川合智月,Kawai Chigetsu,1633 – 1718,,
水間沾徳,Mizuma Sentoku,1662 - 1726 ,,
貴志沾洲,Kishi Senshū,1671－1742 ,,
大高子葉,Otaka Shiyō,1672 – 1703,,
坂本朱拙,Sakamoto Shusetsu ,1656 – 1733,,
中川乙由,Nakagawa Otsuyū,1675 – 1739,,
稲津祇空,Inatsu Gikū,1663 – 1733,,
秋色,Shūshiki,1669 – 1725,,
立羽不角,Tachiba Fukaku,1661 – 1753,,
松木淡々,Matsuki Tantan,1674 – 1761,,
仙石廬元坊,Sengoku Rogenbō,1688 – 1747,,
桜井吏登,Sakurai Ritō,1681 – 1755,,
長谷川馬光,Hasegawa Bakō,1685 – 1751,,
佐久間柳居,Sakuma Ryūkyo,1695 – 1748,,
和田希因,Wada Kiin,1700 – 1750,,
白井鳥酔,Shirai Chōsui,1701 – 1769,,
早野巴人,Hayano Hajin,1677 – 1742,,
横井也有,Yokoi Yayū,1702 - 1783,,
千代女,Chiyojo,1703 – 1775,,
,,,,
有井諸九,Arii Shokyū,1714 – 1781,,
溝口素丸,Mizoguchi Somaru,1713 – 1795,,
大島 蓼太,Oshima Ryōta,1718 – 1787,,
炭太祇,Tan Taigi,1709 – 1771,,
三宅嘯山,Miyake Shōzan,1718 – 1801,,
建部涼袋,Takebe Ryōtai,1719 – 1774,,
堀麦水,Hori Bakusui,1718 – 1783,,
勝見二柳,Katsumi Jiryū,1723 – 1803,,
高桑蘭更,Takakuwa Rankō,1726 – 1798,,
加藤暁台,Katō Kyōdai,1732 – 1792,,
三浦樗良,Miura Chora,1729 – 1780,,
吉分大魯,Yoshiwake Tairo,1730 - 1778),,
上田無腸,Ueda Muchō,1734 – 1809,,
高井几菫,Takai Kitō,1741 – 1789,,
吉分大魯,Yoshiwake Tairo,1730 – 1778,,
松村月渓,Matsumura Getsukei,1752 – 1811,,
加舎白雄,Kaya Shirao,1738 – 1791,,
松岡青蘿,Matsuo Seira,1740 – 1791,,
蝶夢,Chōmu ,1732-1795 ,,
川上不白,Kawakami Fuhaku,1719 – 1807,,
大伴大江丸,Ōtomo Ōemaru,1722 – 1805 ,,
黒柳召波 ,Kuroyanagi Shoha ,1727-71 ,,
吉川五明,Kikkawa Gomei,1731－1803 ,,
榎本星布尼 ,Enomoto Seifuni,1732－1815 ,,
高柳荘丹,Takayanagi Sōtan ,1734 – 1817,,
井上土朗,Inoue Shirō,1742 – 1812,,
宮紫暁,Kyū Shigyō,1745 – 1802,,
栗田樗堂,Kurita Chodō,1748 – 1814,,
夏目成美,Natsume Seibi,1749 – 1816,,
常世田長翠,Tokoyoda Chōsui,1750－1813 ,,
高橋東臯,,,,
田上菊舎,Tagami Kikusha,1753-1826,,
岩間乙二,Iwama Otsuni ,1756 – 1823,,
江森月居,Emori Gekkyo ,1756 - 1824,,
鈴木道彦,Suzuki Michihiko ,1757 – 1819,,
藤森素檗,Fujimori Sobaku,1758-1821 ,,
建部巣兆,Takebe Sōchō,1761 – 1814,,
酒井抱一,Sakai Hōitsu,1761 – 1828,,
小林一茶,Kobayashi Issa,1763 – 1827,,
鶴田卓池,Tsuruda Takuchi,1768－1846,,
清水一瓢,Shimizu Itsubyō,1770 – 1840,,
成田蒼虬,Narita Sōkyū,1759-1842 ,,
田川鳳朗,Tagawa Hōrō,1762 – 1845,,
桜井梅室,Sakurai Baishitsu,1769-1852 ,,
,Torigoe Tōsai,1803 – 1890,,
